Ensembl ID,Gene.name,Gene.description,logFC,logCPM,F,PValue,FDR,-LOG10(FDR)
ENSMUSG00000027193,Api5,apoptosis inhibitor 5 [Source:MGI Symbol;Acc:MGI:1888993],-1.332342589,5.27450693,166.8595948,2.57E-09,5.99E-06,5.222513476
ENSMUSG00000078964,Ces1b,carboxylesterase 1B [Source:MGI Symbol;Acc:MGI:3779470],-1.967247832,6.817258586,127.001551,1.55E-08,1.93E-05,4.713454426
ENSMUSG00000054793,Cadm4,cell adhesion molecule 4 [Source:MGI Symbol;Acc:MGI:2449088],-2.365642417,1.810445384,83.89435606,2.18E-07,0.000113063,3.946679092
ENSMUSG00000026691,Fmo3,flavin containing monooxygenase 3 [Source:MGI Symbol;Acc:MGI:1100496],-6.190597997,7.888411104,80.95041612,2.72E-07,0.000122203,3.912917136
ENSMUSG00000056035,Cyp3a11,"cytochrome P450, family 3, subfamily a, polypeptide 11 [Source:MGI Symbol;Acc:MGI:88609]",-2.553864323,10.95848688,81.42924056,2.62E-07,0.000122203,3.912917136
ENSMUSG00000035150,Eif2s3x,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked [Source:MGI Symbol;Acc:MGI:1349431]",-0.895970962,4.431878895,80.98277133,2.71E-07,0.000122203,3.912917136
ENSMUSG00000054733,Msra,methionine sulfoxide reductase A [Source:MGI Symbol;Acc:MGI:106916],-0.857520689,6.884677283,77.96841018,3.42E-07,0.000142226,3.847022463
ENSMUSG00000073830,Mup14,major urinary protein 14 [Source:MGI Symbol;Acc:MGI:3702005],-5.491926303,1.827776942,70.79684134,6.17E-07,0.000197132,3.705243944
ENSMUSG00000096674,Mup15,major urinary protein 15 [Source:MGI Symbol;Acc:MGI:3780235],-6.697374907,3.525516929,68.06363805,7.83E-07,0.000223536,3.650651682
ENSMUSG00000078674,Mup18,major urinary protein 18 [Source:MGI Symbol;Acc:MGI:3705220],-6.514805307,4.055440915,68.5258173,7.51E-07,0.000223536,3.650651682
ENSMUSG00000000739,Sult5a1,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",-4.503182504,2.805432136,68.00670526,7.87E-07,0.000223536,3.650651682
ENSMUSG00000039018,Mtg1,mitochondrial ribosome-associated GTPase 1 [Source:MGI Symbol;Acc:MGI:2685015],-1.010903655,4.101731448,68.44024437,7.57E-07,0.000223536,3.650651682
ENSMUSG00000046532,Ar,androgen receptor [Source:MGI Symbol;Acc:MGI:88064],-3.703305199,3.55769641,67.56456292,8.18E-07,0.00022651,3.644912755
ENSMUSG00000060317,Acnat2,acyl-coenzyme A amino acid N-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444345],-2.274961208,6.670397405,66.76014555,8.79E-07,0.000238114,3.623214902
ENSMUSG00000072704,Smim10l1,small integral membrane protein 10 like 1 [Source:MGI Symbol;Acc:MGI:1914379],-0.762708378,5.222162277,65.44300538,9.91E-07,0.000257125,3.589856119
ENSMUSG00000049940,Pgrmc2,progesterone receptor membrane component 2 [Source:MGI Symbol;Acc:MGI:1918054],-0.664112788,5.501899667,64.25446877,1.11E-06,0.000281009,3.5512797
ENSMUSG00000039648,Kyat1,kynurenine aminotransferase 1 [Source:MGI Symbol;Acc:MGI:1917516],-1.621118249,5.705410212,59.99396302,1.66E-06,0.000344633,3.462642537
ENSMUSG00000060470,Adgrg3,adhesion G protein-coupled receptor G3 [Source:MGI Symbol;Acc:MGI:1859670],-1.073384172,2.565864296,60.49945203,1.58E-06,0.000344633,3.462642537
ENSMUSG00000038375,Trp53inp2,transformation related protein 53 inducible nuclear protein 2 [Source:MGI Symbol;Acc:MGI:1915978],-0.93166545,7.759352163,60.1096717,1.64E-06,0.000344633,3.462642537
ENSMUSG00000096688,Mup17,major urinary protein 17 [Source:MGI Symbol;Acc:MGI:3705217],-6.911185139,4.783833033,59.73683826,1.70E-06,0.000347667,3.45883692
ENSMUSG00000024725,Ostf1,osteoclast stimulating factor 1 [Source:MGI Symbol;Acc:MGI:700012],-0.810159793,4.796716894,58.48228943,1.93E-06,0.000375378,3.425531666
ENSMUSG00000020017,Hal,histidine ammonia lyase [Source:MGI Symbol;Acc:MGI:96010],-1.442331933,8.700566484,57.87966137,2.05E-06,0.000376315,3.424448149
ENSMUSG00000020053,Igf1,insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432],-1.502098428,8.078488752,57.33755894,2.16E-06,0.000390391,3.408500192
ENSMUSG00000005677,Nr1i3,"nuclear receptor subfamily 1, group I, member 3 [Source:MGI Symbol;Acc:MGI:1346307]",-1.265372949,9.427545795,54.31695594,2.96E-06,0.000462926,3.334488602
ENSMUSG00000043067,Dpy19l1,dpy-19-like 1 (C. elegans) [Source:MGI Symbol;Acc:MGI:1915685],-1.009343374,5.236204076,53.82237077,3.13E-06,0.000469229,3.328614897
ENSMUSG00000022905,Kpna1,karyopherin (importin) alpha 1 [Source:MGI Symbol;Acc:MGI:103560],-0.800745239,5.202760056,50.05314796,4.74E-06,0.000621482,3.20657145
ENSMUSG00000067787,Blcap,bladder cancer associated protein [Source:MGI Symbol;Acc:MGI:1858907],-1.075736582,4.410913722,49.01307525,5.34E-06,0.000665139,3.177087497
ENSMUSG00000078675,Mup16,major urinary protein 16 [Source:MGI Symbol;Acc:MGI:3780250],-5.416857027,3.137599642,48.26847944,5.82E-06,0.000684223,3.164802314
ENSMUSG00000032667,Pon2,paraoxonase 2 [Source:MGI Symbol;Acc:MGI:106687],-0.587567111,5.420505394,47.83654484,6.12E-06,0.000706473,3.150904185
ENSMUSG00000054417,Cyp3a44,"cytochrome P450, family 3, subfamily a, polypeptide 44 [Source:MGI Symbol;Acc:MGI:2449818]",-4.19789655,4.326482961,47.63330837,6.27E-06,0.000709392,3.149113538
ENSMUSG00000097691,9030616G12Rik,RIKEN cDNA 9030616G12 gene [Source:MGI Symbol;Acc:MGI:1924949],-1.505871141,3.328655415,47.56949723,6.32E-06,0.000709392,3.149113538
ENSMUSG00000019935,Slc17a8,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8 [Source:MGI Symbol;Acc:MGI:3039629]",-1.506320836,3.568294316,46.89827598,6.84E-06,0.000754759,3.12219159
