Ensembl ID,Gene.name,Gene.description,logFC,logCPM,F,PValue,FDR,#NAME?,,,,
ENSMUSG00000032081,Apoc3,apolipoprotein C-III [Source:MGI Symbol;Acc:MGI:88055],-1.526400286,5.240179409,148.0235025,1.55E-09,2.12E-05,4.673911505,,,,
ENSMUSG00000023067,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556],-0.794850187,5.247783371,89.68712305,5.48E-08,0.000374279,3.426804806,,,,
ENSMUSG00000037686,Aspg,asparaginase [Source:MGI Symbol;Acc:MGI:2144822],-1.602377793,3.021632412,80.27200497,1.17E-07,0.000532754,3.273473092,,,,
ENSMUSG00000079012,Serpina3m,"serine (or cysteine) peptidase inhibitor, clade A, member 3M [Source:MGI Symbol;Acc:MGI:98378]",-1.960693847,5.046397609,61.38331619,6.94E-07,0.001577892,2.801922809,,,,
ENSMUSG00000046879,Irgm1,immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567],-0.783703599,6.276419325,61.60643301,6.78E-07,0.001577892,2.801922809,,,,
ENSMUSG00000020884,Asgr1,asialoglycoprotein receptor 1 [Source:MGI Symbol;Acc:MGI:88081],-0.616659634,6.764278741,64.03715636,5.27E-07,0.001577892,2.801922809,,,,
ENSMUSG00000052131,Akr1b7,"aldo-keto reductase family 1, member B7 [Source:MGI Symbol;Acc:MGI:101918]",-1.448086585,6.455734958,56.40063588,1.19E-06,0.001629876,2.787845452,,,,
ENSMUSG00000041827,Oasl1,2'-5' oligoadenylate synthetase-like 1 [Source:MGI Symbol;Acc:MGI:2180849],-1.386361449,2.119089228,57.33346086,1.08E-06,0.001629876,2.787845452,,,,
ENSMUSG00000025498,Irf7,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212],-1.048260054,5.82136253,59.1179231,8.84E-07,0.001629876,2.787845452,,,,
ENSMUSG00000078349,AW011738,expressed sequence AW011738 [Source:MGI Symbol;Acc:MGI:2140540],-0.88353672,3.656263615,57.1472654,1.10E-06,0.001629876,2.787845452,,,,
ENSMUSG00000029605,Oas1b,2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430],-1.147025889,3.201223293,54.80888821,1.43E-06,0.001766782,2.752817126,,,,
ENSMUSG00000027951,Adar,"adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]",-0.642735099,6.380305595,54.10703558,1.55E-06,0.001766782,2.752817126,,,,
ENSMUSG00000070327,Rnf213,ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196],-0.994586373,7.959227867,51.18037806,2.20E-06,0.002311048,2.63619108,,,,
ENSMUSG00000038507,Parp12,"poly (ADP-ribose) polymerase family, member 12 [Source:MGI Symbol;Acc:MGI:2143990]",-0.667479117,5.07872735,48.43203416,3.10E-06,0.002745755,2.561338207,,,,
ENSMUSG00000033880,Lgals3bp,"lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]",-0.603996149,6.319442913,48.1316181,3.22E-06,0.002745755,2.561338207,,,,
ENSMUSG00000060317,Acnat2,acyl-coenzyme A amino acid N-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444345],-1.077181349,3.13536091,46.95409326,3.75E-06,0.002840553,2.546597053,,,,
ENSMUSG00000068086,Cyp2d9,"cytochrome P450, family 2, subfamily d, polypeptide 9 [Source:MGI Symbol;Acc:MGI:88606]",-0.794408675,5.208111609,46.15523167,4.16E-06,0.002987766,2.52465335,,,,
ENSMUSG00000049580,Tsku,"tsukushi, small leucine rich proteoglycan [Source:MGI Symbol;Acc:MGI:2443855]",-1.265562172,4.909228904,45.12134332,4.77E-06,0.003184701,2.496931358,,,,
ENSMUSG00000063268,Parp10,"poly (ADP-ribose) polymerase family, member 10 [Source:MGI Symbol;Acc:MGI:3712326]",-0.625751624,5.167893567,44.92407994,4.90E-06,0.003184701,2.496931358,,,,
ENSMUSG00000030966,Trim21,tripartite motif-containing 21 [Source:MGI Symbol;Acc:MGI:106657],-0.64734199,4.023339852,43.9136249,5.62E-06,0.003221797,2.491901894,,,,
ENSMUSG00000074151,Nlrc5,"NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]",-1.125923865,2.332294138,42.64254849,6.70E-06,0.003229238,2.490899991,,,,
ENSMUSG00000028268,Gbp3,guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263],-0.845212604,3.098948882,40.8942742,8.59E-06,0.003663491,2.436104893,,,,
ENSMUSG00000089960,Ugt1a1,"UDP glucuronosyltransferase 1 family, polypeptide A1 [Source:MGI Symbol;Acc:MGI:98898]",-1.547199095,5.289272486,38.88982336,1.15E-05,0.004032765,2.394397056,,,,
ENSMUSG00000032080,Apoa4,apolipoprotein A-IV [Source:MGI Symbol;Acc:MGI:88051],-1.311466332,2.278144081,38.56137985,1.21E-05,0.004032765,2.394397056,,,,
ENSMUSG00000002588,Pon1,paraoxonase 1 [Source:MGI Symbol;Acc:MGI:103295],-1.008416331,6.662443192,38.69263387,1.19E-05,0.004032765,2.394397056,,,,
ENSMUSG00000040483,Xaf1,XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572],-0.725486036,3.545085328,38.62550564,1.20E-05,0.004032765,2.394397056,,,,
ENSMUSG00000021876,Rnase4,"ribonuclease, RNase A family 4 [Source:MGI Symbol;Acc:MGI:1926217]",-0.71722144,4.05289793,39.99581909,9.79E-06,0.004032765,2.394397056,,,,
ENSMUSG00000027048,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:MGI Symbol;Acc:MGI:1351619]",-0.712819256,7.888023533,39.60595452,1.04E-05,0.004032765,2.394397056,,,,
ENSMUSG00000026170,Cyp27a1,"cytochrome P450, family 27, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88594]",-0.656388103,5.624008545,39.16589947,1.11E-05,0.004032765,2.394397056,,,,
ENSMUSG00000000142,Axin2,axin 2 [Source:MGI Symbol;Acc:MGI:1270862],-1.414977192,1.019709915,37.84613242,1.35E-05,0.004108292,2.386338654,,,,
ENSMUSG00000066677,Ifi208,interferon activated gene 208 [Source:MGI Symbol;Acc:MGI:2442822],-1.056724641,2.034555374,36.69196504,1.61E-05,0.004266426,2.369935762,,,,
ENSMUSG00000029561,Oasl2,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390],-0.985212611,4.348992652,36.92858831,1.56E-05,0.004266426,2.369935762,,,,
ENSMUSG00000092008,Cyp2c69,"cytochrome P450, family 2, subfamily c, polypeptide 69 [Source:MGI Symbol;Acc:MGI:3721049]",-0.926620551,6.697582266,36.87991965,1.57E-05,0.004266426,2.369935762,,,,
ENSMUSG00000052974,Cyp2f2,"cytochrome P450, family 2, subfamily f, polypeptide 2 [Source:MGI Symbol;Acc:MGI:88608]",-0.807969326,5.327179032,35.95079458,1.81E-05,0.004266426,2.369935762,,,,
ENSMUSG00000032204,Aqp9,aquaporin 9 [Source:MGI Symbol;Acc:MGI:1891066],-0.697528054,5.957836861,36.19565455,1.74E-05,0.004266426,2.369935762,,,,
ENSMUSG00000025991,Cps1,carbamoyl-phosphate synthetase 1 [Source:MGI Symbol;Acc:MGI:891996],-0.649292416,10.98253561,36.37964923,1.69E-05,0.004266426,2.369935762,,,,
ENSMUSG00000051483,Cbr1,carbonyl reductase 1 [Source:MGI Symbol;Acc:MGI:88284],-0.606789043,5.272952003,36.82512565,1.58E-05,0.004266426,2.369935762,,,,
ENSMUSG00000028088,Fmo5,flavin containing monooxygenase 5 [Source:MGI Symbol;Acc:MGI:1310004],-0.588641414,7.101032273,36.63863832,1.63E-05,0.004266426,2.369935762,,,,
ENSMUSG00000030109,Slc6a12,"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12 [Source:MGI Symbol;Acc:MGI:95628]",-0.649062337,4.386151484,35.52932769,1.94E-05,0.004410199,2.355541852,,,,
ENSMUSG00000005677,Nr1i3,"nuclear receptor subfamily 1, group I, member 3 [Source:MGI Symbol;Acc:MGI:1346307]",-0.869258312,4.83430427,34.21111192,2.40E-05,0.004902187,2.30961015,,,,
ENSMUSG00000020638,Cmpk2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99830]",-0.868355548,5.277028149,34.14821989,2.42E-05,0.004902187,2.30961015,,,,
ENSMUSG00000030107,Usp18,ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364],-0.82687691,4.762125804,34.01573927,2.48E-05,0.004902187,2.30961015,,,,
ENSMUSG00000017830,Dhx58,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560],-0.899148319,3.543670055,33.11202758,2.88E-05,0.005488352,2.260558031,,,,
ENSMUSG00000068245,Phf11d,PHD finger protein 11D [Source:MGI Symbol;Acc:MGI:1277133],-0.79552875,2.503978438,33.0333468,2.92E-05,0.005488352,2.260558031,,,,
ENSMUSG00000036813,Entpd8,ectonucleoside triphosphate diphosphohydrolase 8 [Source:MGI Symbol;Acc:MGI:1919340],-0.61298651,5.434380991,32.91805676,2.98E-05,0.005488352,2.260558031,,,,
ENSMUSG00000028715,Cyp4a14,"cytochrome P450, family 4, subfamily a, polypeptide 14 [Source:MGI Symbol;Acc:MGI:1096550]",-1.146562175,5.292957508,31.60128804,3.73E-05,0.005898027,2.229293267,,,,
