Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
C17orf67	ENST00000397861.2	chromosome 17 open reading frame 67 	5	1	1	0	0	0	mmu-miR-483-5p				-0.93	-0.93	N/A
ASCL4	ENST00000342331.4	achaete-scute complex homolog 4 (Drosophila) 	5	1	1	0	0	0	mmu-miR-483-5p				-0.84	-0.84	N/A
FRMD1	ENST00000283309.6	FERM domain containing 1 	5	1	1	0	0	0	mmu-miR-483-5p				-0.80	-0.80	N/A
FAM3D	ENST00000358781.2	family with sequence similarity 3, member D 	5	1	1	0	0	0	mmu-miR-483-5p				-0.77	-0.77	N/A
ZNF580	ENST00000325333.5	zinc finger protein 580 	154	1	1	0	0	0	mmu-miR-483-5p				-0.77	-0.79	N/A
ATP2A3	ENST00000309890.7	ATPase, Ca++ transporting, ubiquitous 	40	3	0	2	1	1	mmu-miR-483-5p				-0.70	-0.70	N/A
LAMP5	ENST00000246070.2	lysosomal-associated membrane protein family, member 5 	26	1	1	0	0	0	mmu-miR-483-5p				-0.67	-0.67	N/A
CYB561D1	ENST00000496961.1	cytochrome b561 family, member D1 	105	2	0	2	0	0	mmu-miR-483-5p				-0.65	-0.65	N/A
AC104472.1	ENST00000399242.2	CDNA FLJ26134 fis, clone TMS03713; Uncharacterized protein  	5	1	0	1	0	0	mmu-miR-483-5p				-0.63	-0.63	N/A
METAP2	ENST00000323666.5	methionyl aminopeptidase 2 	23	1	1	0	0	0	mmu-miR-483-5p				-0.58	-0.58	N/A
PHTF1	ENST00000393357.2	putative homeodomain transcription factor 1 	444	1	1	0	0	0	mmu-miR-483-5p				-0.57	-0.57	N/A
FAM107B	ENST00000378470.1	family with sequence similarity 107, member B 	403	1	1	0	0	0	mmu-miR-483-5p				-0.56	-0.56	N/A
