Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
C7orf55-LUC7L2	ENST00000354926.4	C7orf55-LUC7L2 readthrough 	419	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.65	-0.67	N/A	NULL
LUC7L2	ENST00000541515.3	LUC7-like 2 (S. cerevisiae) 	419	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.63	-0.66	N/A	NULL
MED1	ENST00000300651.6	mediator complex subunit 1 	87	1	1	0	0	2	1	0	1	1	mmu-miR-483-3p.2				-0.47	-0.49	N/A	2007
CCNK	ENST00000389879.5	cyclin K 	1777	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.43	-0.43	N/A	NULL
ZNF225	ENST00000592780.1	zinc finger protein 225 	100	1	0	1	0	2	0	2	0	0	mmu-miR-483-3p.2				-0.42	-0.68	N/A	NULL
RIOK3	ENST00000339486.3	RIO kinase 3 	757	1	0	1	0	1	1	0	0	1	mmu-miR-483-3p.2				-0.41	-0.45	N/A	2007
LCMT2	ENST00000567039.1	leucine carboxyl methyltransferase 2 	274	2	0	1	1	0	0	0	0	0	mmu-miR-483-3p.2				-0.41	-0.41	N/A	NULL
AIFM1	ENST00000535724.1	apoptosis-inducing factor, mitochondrion-associated, 1 	2582	1	0	0	1	1	0	0	1	0	mmu-miR-483-3p.2				-0.39	-0.39	N/A	NULL
RPE	ENST00000429907.1	ribulose-5-phosphate-3-epimerase 	333	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.39	-0.39	N/A	NULL
LUC7L	ENST00000337351.4	LUC7-like (S. cerevisiae) 	898	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.38	-0.39	N/A	NULL
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	1	0	0	1	1	0	0	0	mmu-miR-483-3p.2				-0.37	-0.38	N/A	2007
CYP39A1	ENST00000275016.2	cytochrome P450, family 39, subfamily A, polypeptide 1 	152	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.36	-0.36	N/A	NULL
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.35	-0.43	N/A	2007
WDR44	ENST00000254029.3	WD repeat domain 44 	392	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.34	-0.36	N/A	2007
CNOT6L	ENST00000504123.1	CCR4-NOT transcription complex, subunit 6-like 	23	1	1	0	0	2	0	2	0	1	mmu-miR-483-3p.2				-0.33	-0.37	N/A	2007
RUFY4	ENST00000441828.2	RUN and FYVE domain containing 4 	5	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.33	-0.33	N/A	NULL
U2AF2	ENST00000450554.2	U2 small nuclear RNA auxiliary factor 2 	1093	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.33	-0.33	N/A	NULL
NEK9	ENST00000238616.5	NIMA-related kinase 9 	733	1	1	0	0	0	0	0	0	2	mmu-miR-483-3p.2				-0.31	-0.33	N/A	2007
RNF24	ENST00000336095.6	ring finger protein 24 	448	1	0	1	0	1	0	1	0	1	mmu-miR-483-3p.2				-0.30	-0.34	N/A	NULL
IGF1	ENST00000337514.6	insulin-like growth factor 1 (somatomedin C) 	19	1	0	1	0	0	0	0	0	1	mmu-miR-483-3p.2				-0.30	-0.32	N/A	2007
RBBP5	ENST00000264515.6	retinoblastoma binding protein 5 	166	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.28	-0.28	N/A	NULL
TEAD2	ENST00000598810.1	TEA domain family member 2 	589	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.28	-0.28	N/A	NULL
RGAG4	ENST00000545866.1	retrotransposon gag domain containing 4 	34	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.28	-0.28	N/A	NULL
AC012215.1	ENST00000437887.1	Uncharacterized protein  	31	1	1	0	0	0	0	0	0	1	mmu-miR-483-3p.2				-0.27	-0.32	N/A	NULL
ZFAND2B	ENST00000409594.1	zinc finger, AN1-type domain 2B 	132	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.25	-0.25	N/A	NULL
CAMK2N2	ENST00000296238.3	calcium/calmodulin-dependent protein kinase II inhibitor 2 	39	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.24	-0.24	N/A	2007
CAMK2G	ENST00000351293.3	calcium/calmodulin-dependent protein kinase II gamma 	14	1	1	0	0	1	0	1	0	0	mmu-miR-483-3p.2				-0.24	-0.24	N/A	2007
YY1	ENST00000262238.4	YY1 transcription factor 	1803	1	0	1	0	1	0	0	1	0	mmu-miR-483-3p.2				-0.24	-0.24	N/A	NULL
PHF20L1	ENST00000395386.2	PHD finger protein 20-like 1 	169	1	1	0	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.20	-0.20	N/A	2007
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.20	-0.20	N/A	NULL
NUDT18	ENST00000521807.2	nudix (nucleoside diphosphate linked moiety X)-type motif 18 	40	1	0	1	0	0	0	0	0	1	mmu-miR-483-3p.2				-0.20	-0.20	N/A	NULL
CDC37L1	ENST00000381854.3	cell division cycle 37-like 1 	280	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.20	-0.20	N/A	NULL
GPR50	ENST00000218316.3	G protein-coupled receptor 50 	148	1	0	1	0	2	0	1	1	0	mmu-miR-483-3p.2				-0.19	-0.19	N/A	NULL
STARD4	ENST00000512160.1	StAR-related lipid transfer (START) domain containing 4 	767	1	0	0	1	0	0	0	0	0	mmu-miR-483-3p.2				-0.18	-0.18	N/A	NULL
OGT	ENST00000373719.3	O-linked N-acetylglucosamine (GlcNAc) transferase 	1036	1	1	0	0	0	0	0	0	1	mmu-miR-483-3p.2				-0.17	-0.35	N/A	2007
CDH4	ENST00000360469.5	cadherin 4, type 1, R-cadherin (retinal) 	33	1	1	0	0	2	0	2	0	0	mmu-miR-483-3p.2				-0.14	-0.14	N/A	NULL
PDGFB	ENST00000331163.6	platelet-derived growth factor beta polypeptide 	5	1	0	0	1	0	0	0	0	1	mmu-miR-483-3p.2				-0.14	-0.14	N/A	2007
NR6A1	ENST00000487099.2	nuclear receptor subfamily 6, group A, member 1 	1082	1	0	1	0	0	0	0	0	0	mmu-miR-483-3p.2				-0.14	-0.14	N/A	NULL
HIPK2	ENST00000406875.3	homeodomain interacting protein kinase 2 	48	1	0	0	1	4	0	2	2	2	mmu-miR-483-3p.2				-0.14	-0.15	N/A	NULL
