Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
KRTAP19-5	ENST00000334151.2	keratin associated protein 19-5 	27	1	1	0	0	0	mmu-let-7d-3p				-0.89	-0.89	N/A
MYF5	ENST00000228644.3	myogenic factor 5 	5	1	1	0	0	0	mmu-let-7d-3p				-0.79	-0.79	N/A
LACC1	ENST00000325686.6	laccase (multicopper oxidoreductase) domain containing 1 	15	2	1	0	1	0	mmu-let-7d-3p				-0.78	-0.78	N/A
C9orf170	ENST00000375941.2	chromosome 9 open reading frame 170 	5	1	1	0	0	0	mmu-let-7d-3p				-0.78	-0.78	N/A
SIRT6	ENST00000601488.1	sirtuin 6 	10	1	1	0	0	0	mmu-let-7d-3p				-0.75	-0.75	N/A
FAM196A	ENST00000522781.1	family with sequence similarity 196, member A 	5	2	1	0	1	1	mmu-let-7d-3p				-0.69	-0.69	N/A
DIO1	ENST00000322679.6	deiodinase, iodothyronine, type I 	5	1	1	0	0	0	mmu-let-7d-3p				-0.67	-0.67	N/A
SEC24C	ENST00000345254.4	SEC24 family, member C (S. cerevisiae) 	8215	1	1	0	0	0	mmu-let-7d-3p				-0.55	-0.55	N/A
ATG3	ENST00000402314.2	autophagy related 3 	177	1	1	0	0	0	mmu-let-7d-3p				-0.55	-0.57	N/A
CASD1	ENST00000297273.4	CAS1 domain containing 1 	270	2	2	0	0	0	mmu-let-7d-3p				-0.54	-0.87	N/A
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	1	1	0	0	0	mmu-let-7d-3p				-0.52	-0.52	N/A
EREG	ENST00000244869.2	epiregulin 	5	1	1	0	0	0	mmu-let-7d-3p				-0.52	-0.52	N/A
HMGA2	ENST00000403681.2	high mobility group AT-hook 2 	8021	1	1	0	0	0	mmu-let-7d-3p				-0.50	-0.50	N/A
METTL7A	ENST00000332160.4	methyltransferase like 7A 	695	1	1	0	0	0	mmu-let-7d-3p				-0.50	-0.50	N/A
ITGA1	ENST00000282588.6	integrin, alpha 1 	400	2	0	0	2	1	mmu-let-7d-3p				-0.48	-0.54	N/A
SOWAHC	ENST00000356454.3	sosondowah ankyrin repeat domain family member C 	431	1	1	0	0	0	mmu-let-7d-3p				-0.48	-0.57	N/A
RAVER2	ENST00000371072.4	ribonucleoprotein, PTB-binding 2 	218	1	1	0	0	0	mmu-let-7d-3p				-0.47	-0.49	N/A
OR2D2	ENST00000299459.2	olfactory receptor, family 2, subfamily D, member 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.46	-0.46	N/A
ANKH	ENST00000284268.6	ANKH inorganic pyrophosphate transport regulator 	770	1	1	0	0	0	mmu-let-7d-3p				-0.45	-0.51	N/A
FEZF2	ENST00000486811.1	FEZ family zinc finger 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.44	-0.44	N/A
EAF1	ENST00000396842.2	ELL associated factor 1 	63	1	1	0	0	0	mmu-let-7d-3p				-0.43	-0.46	N/A
COL14A1	ENST00000297848.3	collagen, type XIV, alpha 1 	117	1	1	0	0	0	mmu-let-7d-3p				-0.43	-0.43	N/A
TMEM218	ENST00000532156.1	transmembrane protein 218 	553	1	0	0	1	0	mmu-let-7d-3p				-0.43	-0.44	N/A
ZFPM2	ENST00000407775.2	zinc finger protein, FOG family member 2 	595	1	0	1	0	1	mmu-let-7d-3p				-0.43	-0.43	N/A
MESP2	ENST00000560219.1	mesoderm posterior 2 homolog (mouse) 	8	1	0	1	0	0	mmu-let-7d-3p				-0.43	-0.43	N/A
CEND1	ENST00000330106.4	cell cycle exit and neuronal differentiation 1 	28	1	0	0	1	1	mmu-let-7d-3p				-0.42	-0.42	N/A
SLC45A3	ENST00000367145.3	solute carrier family 45, member 3 	17	1	0	1	0	0	mmu-let-7d-3p				-0.41	-0.41	N/A
DHRS4	ENST00000558263.1	dehydrogenase/reductase (SDR family) member 4 	5	1	0	0	1	0	mmu-let-7d-3p				-0.41	-0.41	N/A
SLC22A4	ENST00000200652.3	solute carrier family 22 (organic cation/zwitterion transporter), member 4 	53	1	0	0	1	0	mmu-let-7d-3p				-0.41	-0.41	N/A
PKLR	ENST00000392414.3	pyruvate kinase, liver and RBC 	112	1	0	1	0	0	mmu-let-7d-3p				-0.40	-0.40	N/A
