Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
HMGA2	ENST00000403681.2	high mobility group AT-hook 2 	8021	7	1	3	3	0	0	0	0	0	mmu-let-7d-5p				-2.62	-2.64	> 0.99	2005, 2007, 2009, 2011
NR6A1	ENST00000487099.2	nuclear receptor subfamily 6, group A, member 1 	1082	4	2	2	0	4	1	3	0	0	mmu-let-7d-5p				-2.05	-2.09	> 0.99	NULL
ARID3B	ENST00000346246.5	AT rich interactive domain 3B (BRIGHT-like) 	11	5	0	1	4	0	0	0	0	0	mmu-let-7d-5p				-1.75	-1.75	> 0.99	2005, 2007, 2009, 2011
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	4	1	3	0	1	0	0	1	0	mmu-let-7i-5p				-1.47	-1.47	> 0.99	2007, 2009, 2011
FIGN	ENST00000333129.3	fidgetin 	10	6	3	0	3	0	0	0	0	0	mmu-let-7d-5p				-1.41	-2.02	> 0.99	2007, 2009, 2011
TRIM71	ENST00000383763.5	tripartite motif containing 71, E3 ubiquitin protein ligase 	67	6	4	0	2	0	0	0	0	0	mmu-let-7d-5p				-1.40	-1.69	> 0.99	2007, 2009, 2011
VSTM5	ENST00000409977.1	V-set and transmembrane domain containing 5 	5	2	2	0	0	1	0	0	1	0	mmu-let-7d-5p				-1.26	-1.26	> 0.99	NULL
ADRB3	ENST00000345060.3	adrenoceptor beta 3 	5	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.97	-0.97	> 0.99	2005, 2007, 2009, 2011
IGDCC3	ENST00000327987.4	immunoglobulin superfamily, DCC subclass, member 3 	464	3	3	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.95	-0.95	> 0.99	2003, 2007, 2009, 2011
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	2	2	0	0	0	0	0	0	0	mmu-let-7i-5p				-0.93	-0.93	> 0.99	2005, 2007, 2009, 2011
CDC34	ENST00000215574.4	cell division cycle 34 	1810	2	1	0	1	0	0	0	0	0	mmu-let-7g-5p				-0.90	-1.17	> 0.99	2005, 2007, 2009, 2011
FAM222B	ENST00000582266.1	family with sequence similarity 222, member B 	100	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.90	-0.90	< 0.1	NULL
