Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
LUZP6	ENST00000589735.1	leucine zipper protein 6 	1290	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.73	-0.73	N/A	NULL
DIS3	ENST00000377767.4	DIS3 mitotic control homolog (S. cerevisiae) 	140	1	0	1	0	2	1	1	0	0	mmu-miR-136-5p				-0.60	-0.62	N/A	2011
BPTF	ENST00000321892.4	bromodomain PHD finger transcription factor 	7	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.59	-0.59	N/A	2007, 2009, 2011
C6orf62	ENST00000378119.4	chromosome 6 open reading frame 62 	300	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.51	-0.51	N/A	NULL
SEMA4C	ENST00000305476.5	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C 	31	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.51	-0.51	N/A	2009, 2011
CBX4	ENST00000269397.4	chromobox homolog 4 	3211	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.50	-0.66	N/A	2007, 2009, 2011
RPUSD4	ENST00000298317.4	RNA pseudouridylate synthase domain containing 4 	333	1	1	0	0	1	0	1	0	0	mmu-miR-136-5p				-0.49	-0.49	N/A	2009, 2011
CHCHD1	ENST00000372837.3	coiled-coil-helix-coiled-coil-helix domain containing 1 	97	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.48	-0.58	N/A	2011
PPP2R2A	ENST00000380737.3	protein phosphatase 2, regulatory subunit B, alpha 	236	1	1	0	0	3	0	0	3	1	mmu-miR-136-5p				-0.47	-0.50	N/A	2007, 2011
SLC7A3	ENST00000374299.3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 	5	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.47	-0.47	N/A	2007, 2009, 2011
MTPN	ENST00000393085.3	myotrophin 	1296	1	1	0	0	0	0	0	0	2	mmu-miR-136-5p				-0.47	-0.47	N/A	2007, 2009, 2011
RAP2C	ENST00000342983.2	RAP2C, member of RAS oncogene family 	604	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.46	-0.54	N/A	2007, 2009, 2011
EXTL3	ENST00000220562.4	exostosin-like glycosyltransferase 3 	358	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.43	-0.44	N/A	2007, 2009, 2011
MIEN1	ENST00000577810.1	migration and invasion enhancer 1 	140	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.42	-0.42	N/A	NULL
GNG3	ENST00000294117.5	guanine nucleotide binding protein (G protein), gamma 3 	10	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.42	-0.42	N/A	2007, 2009, 2011
CPEB2	ENST00000538197.1	cytoplasmic polyadenylation element binding protein 2 	367	1	1	0	0	0	0	0	0	2	mmu-miR-136-5p				-0.39	-0.41	N/A	2007, 2009, 2011
STX17	ENST00000259400.6	syntaxin 17 	510	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.38	-0.39	N/A	2011
ST8SIA2	ENST00000268164.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 	9	1	1	0	0	2	0	0	2	2	mmu-miR-136-5p				-0.38	-0.38	N/A	2007, 2009, 2011
GDI2	ENST00000380191.4	GDP dissociation inhibitor 2 	664	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.38	-0.43	N/A	NULL
TNFSF10	ENST00000420541.2	tumor necrosis factor (ligand) superfamily, member 10 	28	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.37	-0.37	N/A	NULL
FAM122A	ENST00000394264.3	family with sequence similarity 122A 	1277	1	1	0	0	3	0	1	2	0	mmu-miR-136-5p				-0.37	-0.59	N/A	2009, 2011
GLIPR2	ENST00000396613.3	GLI pathogenesis-related 2 	218	1	1	0	0	1	0	0	1	0	mmu-miR-136-5p				-0.36	-0.81	N/A	2009, 2011
BCL7B	ENST00000223368.2	B-cell CLL/lymphoma 7B 	4037	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.36	-0.36	N/A	2009, 2011
